centre;composante;iae_etape_code;iae_version_code;iae_etape_lib;id_polytech;redoublant;sexe;age;nationalite;bac;bac_annee;bac_mention;bac_lieu;titre_access;titre_acces_iea;titre_acces_pays;Boursier ;dernier_etablissement_code;dernier_etablissement_lib;premier_etablissement_code;premier_etablissement_lib;type_dernier_diplome_code;type_dernier_diplome_lib;regime_inscription
POLYTECH;POLYTECH;PL03GB;114;Ingénieur Polytech 3A GB;2122INGGBM046;N;M;20;FRANCAIS(E);SVT-MA;2019;Très bien;Morbihan;; ;; ;0383493R;U_GRALP;0383493R;Université Grenoble Alpes;040;Licence;initiale
POLYTECH;POLYTECH;PL05ME;114;Ingénieur Polytech 5A MEC;2122INGMECA051;N;M;23;FRANCAIS(E);Bac Pro. I;2016;Très bien;Nièvre;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;010;BTS;cont pro
POLYTECH;POLYTECH;PL3IFA;118;Ingénieur Polytech IF 3A;2122INGIFA025;N;F;20;FRANCAIS(E);SVT-ISN;2019;Assez bien;Rhône;; ;; ;0691774D;U_LYON 1;0691774D;Université Lyon 1;011;DUT;apprentis.
POLYTECH;POLYTECH;PL05GB;114;Ingénieur Polytech 5A GB;2122INGGBM047;N;F;22;FRANCAIS(E);SVT-MA;2017;Bien;Ain;; ;;Oui;0691774D;U_LYON 1;0691774D;Université Lyon 1;900;Aucun diplôme supérieur;initiale
POLYTECH;POLYTECH;PL03MA;114;Ingénieur Polytech 3A MAT;2122INGMAT033;N;M;20;FRANCAIS(E);SVT-MA;2019;Très bien;Ain;; ;;Oui;0691774D;U_LYON 1;0691774D;Université Lyon 1;012;Attestation délivrée à la suite d'un cursus en CPGE;initiale
POLYTECH;POLYTECH;PL3IFA;118;Ingénieur Polytech IF 3A;2122INGIFA026;N;F;19;FRANCAIS(E);SVT-ISN;2019;Assez bien;Saône Loir;; ;; ;0211237F;U_BOURGOGN;0211237F;Université de Bourgogne;011;DUT;apprentis.
POLYTECH;POLYTECH;PL05MA;114;Ingénieur Polytech 5A MAT;2122INGMAT034;N;M;22;FRANCAIS(E);SVT-PC;2017;Bien;Saône Loir;DUT;Externe;; ;0691774D;U_LYON 1;0211237F;Université de Bourgogne;011;DUT;initiale
POLYTECH;POLYTECH;PL05ME;114;Ingénieur Polytech 5A MEC;2122INGMECA052;N;F;22;FRANCAIS(E);BIO-PC;2017;Très bien;Essonne;; ;;Oui;0691774D;U_LYON 1;0912330N;Université Paris-Saclay;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL04ME;114;Ingénieur Polytech 4A MEC;2122INGMECA053;N;M;21;FRANCAIS(E);S-STI;2018;Bien;Ain;Ingénieur;Externe;;Oui;0691774D;U_LYON 1;0730858L;Université Savoie Mont Blanc;001;Baccalaureat (Français);initiale
POLYTECH;POLYTECH;PL04MA;114;Ingénieur Polytech 4A MAT;2122INGMAT035;N;M;22;FRANCAIS(E);SVT-MA;2017;Assez bien;Hte Loire;; ;;Oui;0691774D;U_LYON 1;0421095M;Université Jean Monnet (Saint Etienne);011;DUT;initiale
