id_polytech_inter;sexe;filiere;cursus;nationalite;diplome;stage_3a;stage_4a;s9_5a;stage_5a;double_diplome;sejourt_court;cesure;substitution;nb_mois_stage;nb_mois_etude;commentaires;total
2122_INTER_MAT002;M;MAT;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAT003;M;MAT;FISE;FRANCAIS(E);oui;;5;;;;;;;5;0;;5
2122_INTER_MAT004;M;MAT;FISE;FRANCAIS(E);oui;;;;;0;;;MOOC;0;0;;0
2122_INTER_MAT005;F;MAT;FISE;FRANCAIS(E);oui;;;4;;;;;;0;4;;4
2122_INTER_MAT006;F;MAT;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MAT007;M;MAT;FISE;FRANCAIS(E);oui;;;;;0;;;MOOC;0;0;;0
2122_INTER_MAT008;F;MAT;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAT009;M;MAT;fISE;FRANCAIS(E);DD Cranfield en cours;;;;;10;;;;0;10;;10
2122_INTER_MAT010;M;MAT;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAT011;F;MAT;FISE;FRANCAIS(E);oui;;;5;5;;;;;5;5;;10
2122_INTER_MAT012;M;MAT;FISE;FRANCAIS(E);oui;;;;;0;;;MOOC;0;0;;0
2122_INTER_MAT013;M;MAT;FISE;FRANCAIS(E);oui;;;;;;;;;3;0;;3
2122_INTER_MAT014;M;MAT;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MAT015;M;MAT;FISE;;oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAT016;M;MAT;FISE;FRANCAIS(E);oui;;;;;10;;;;0;10;;10
2122_INTER_MAT017;M;MAT;FISE;FRANCAIS(E);oui;;;4;;;;;;0;4;;4
2122_INTER_MAT018;F;MAT;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAT019;M;MAT;FISE;FRANCAIS(E);oui;;;;;;;;;0;5;;5
2122_INTER_MAT020;F;MAT;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAT021;M;MAT;FISE;FRANCAIS(E);oui;;;;;;;;;3;0;;3
2122_INTER_MAT022;M;MAT;FISE;FRANCAIS(E);oui;;;5;;;;;;2,5;5;;7,5
2122_INTER_MAT023;F;MAT;FISE;FRANCAIS(E);oui;;;4;;;;;;0;4;;4
2122_INTER_MAT024;M;MAT;FISE;FRANCAIS(E);oui;;;;;;;;;3;0;;3
2122_INTER_MAT025;M;MAT;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MAT026;F;MAT;FISE;FRANCAIS(E);oui;;;4;;;;;;0;4;;4
2122_INTER_MAT027;F;MAT;FISE;MAROCAIN(E);oui;;4;;;;;;;4;0;;4
2122_INTER_MAT028;F;MAT;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MAT029;M;MAT;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAT030;M;MAT;FISE;FRANCAIS(E);oui;;4,5;5;;;;;;4,5;5;;9,5
2122_INTER_MAT031;M;MAT;FISE;FRANCAIS(E);oui;5;5;;;;;;;10;0;;10
2122_INTER_MAT032;M;MAT;FISE;FRANCAIS(E);oui;;;4;;;;;;0;4;;4
2122_INTER_MAT033;M;MAT;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MAT034;F;MAT;FISE;FRANCAIS(E);oui;;;;;;5;;;5;0;;5
2122_INTER_MECA001;M;MECA;FISE;FRANCAIS(E);DD UQAC en cours;;;;;10;;;;0;10;;10
2122_INTER_MECA002;M;MECA;FISE;BELGE;oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA003;M;MECA;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MECA004;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
2122_INTER_MECA005;M;MECA;FISE;MAROCAIN(E);oui;;;;6;5;;;;6;5;;11
2122_INTER_MECA006;M;MECA;FISE;FRANCAIS(E);oui;;;5;;;;;;0;5;;5
2122_INTER_MECA007;M;MECA;Cpro;SENEGALAIS(E);;;;;;;;;;0;0;;0
2122_INTER_MECA008;M;MECA;FISE;FRANCAIS(E);oui;;;;;;;;MOOC;0;0;;0
